3,3,3,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,21,5,5,5,4
21,1,3,3,5,5,8,13,8,5,5,5,5,5,5,5,5,1,5,2,2,2,2,2,2,2,21,14,5,4,4,4
1,1,1,3,3,22,3,3,3,3,3,5,8,5,6,5,5,3,3,3,2,5,5,5,5,5,2,2,2,4,4,4
1,1,1,5,1,1,1,1,1,1,3,3,3,3,3,3,3,22,7,3,5,5,5,5,5,5,5,4,4,4,4,4
8,5,5,8,8,8,5,1,5,1,1,5,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,5,5
8,8,8,8,15,1,8,8,8,8,8,8,8,8,8,8,5,5,5,4,4,5,5,5,3,4,4,4,5,5,5,5
8,8,8,1,21,1,1,1,1,1,1,1,1,8,8,8,1,1,4,4,4,4,5,5,3,1,21,1,5,5,5,5
8,8,23,1,1,1,1,8,8,8,1,1,1,8,8,11,17,4,4,4,4,4,4,4,3,1,1,1,21,1,1,5
8,8,1,1,1,21,8,8,8,8,8,22,3,3,3,3,1,4,4,4,4,4,4,1,3,5,5,5,5,5,5,5
8,8,8,8,8,8,8,8,8,8,21,3,8,8,8,3,5,4,4,4,4,5,1,1,3,5,5,5,5,5,5,5
8,8,8,8,8,8,8,8,8,21,3,3,8,8,8,3,5,1,1,4,1,1,1,1,3,5,5,5,5,5,5,5
8,3,3,3,3,3,8,8,8,1,3,8,8,8,8,3,3,3,3,3,3,3,3,22,3,5,5,5,5,5,5,5
8,3,8,8,8,3,1,8,8,8,3,3,8,8,8,8,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
8,3,23,8,1,3,1,8,8,8,1,3,8,8,8,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
8,3,5,8,8,3,1,8,4,8,1,3,8,8,8,5,5,5,5,5,5,1,5,5,5,4,4,4,4,4,4,4
8,3,5,8,5,3,1,8,8,8,1,3,8,8,1,5,5,21,21,1,5,1,1,5,4,4,4,4,4,4,4,4
8,3,8,8,5,3,3,3,3,3,3,3,8,5,5,5,1,1,21,1,5,5,1,4,4,4,4,4,8,4,4,4
8,3,8,8,8,8,8,8,8,8,8,8,8,5,5,5,21,1,1,21,1,5,5,5,4,4,4,4,4,4,4,4
8,3,8,8,8,5,1,5,8,8,8,1,5,5,1,3,3,3,3,3,3,5,5,5,4,4,4,4,4,4,4,4
8,3,8,8,5,5,5,5,1,5,1,5,5,5,5,3,5,5,5,5,3,1,1,5,4,4,4,4,4,4,4,4
8,3,8,5,5,5,1,5,5,5,5,1,5,1,21,3,5,16,5,5,22,5,5,5,5,4,4,4,4,4,4,4
8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,1,3,1,1,1,5,4,4,4,4,4,4,4
1,3,3,5,5,21,5,1,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,5,4,4,4,4
5,5,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4
5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,3,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4
11,11,11,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,3,22,3,3,1,1,1,4,4,4,4,4,4,4
11,3,3,3,3,3,3,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4
22,3,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4
3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
